,Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,School Type
47,48,,,Connor Prielipp,SIRP,21.5,"6' 1""",195,L,L,Alabama,,40+,High,"Prielipp is a lefty with mid-90s heat, and a plus-plus upper-80s slider. He was a little wild as a freshman but the arm strength was relatively new. He dealt with a couple periods of injury culminating in Tommy John surgery late in May of 2021. The timing of the 2022 draft (which may change due to the new CBA) may dictate whether and how Prielipp is seen prior to selection day, be it at the Combine, on Cape Cod, or in a bullpen",,4-Year
48,49,,,Sal Stewart,3B,18.6,"6' 3""",225,R,R,Westminster Christian HS (FL),Vanderbilt,40+,Med,"The bird's eye view of Stewart's skillset -- above-average present power and feel for contact, a potential slide from third base to first -- is like that of the high school version of Austin Riley. How Stewart's athleticism trends into his early 20s may sap him of enough mobility to play the hot corner, but if he can keep things in check he'll give himself a chance to stay there. In either case, Stewart has preternatural feel for contact (he's especially adept at putting the bat head on inner-third fastballs) and the strength to do damage. He's the favorite among the high school hitters to move through the minors quickly, and has a shot to be an everyday third baseman",,High School
49,50,,,Noah Schultz,SIRP,18.9,"6' 9""",230,L,L,Oswego East HS (IL),Vanderbilt,40+,High,"Teams have growing interest in unique release points, and Schultz's combination of extreme size and a low-slot delivery make him special in this way. His upper-80s, tailing fastball has flat vertical angle and approaches hitters from the extreme first base side of the plate. He has trouble getting his heater to his glove side right now, which makes it tough to set up his sweeping breaking ball for swings and misses. This is a pure projection bet as Schultz needs to find more velo (which is likely, due to how much room is on his frame), develop more precise and diverse fastball usage, and better maintain his fastball arm speed while throwing his changeup if he's going to be a starter. But there's huge upside here because of the projectable elements",,High School
50,51,,,Cade Horton,SP/3B,20.9,"6' 2""",190,R,R,Oklahoma,,40+,High,"Horton is a legit two-way prospect who has been up to 95 on the mound with a 45/50 slider. He has a 6 arm (duh) with a good-looking blend of pop and feel to hit as a position player. He can play all over the place but third base is his most likely full-time destination. He had Tommy John before the start of his freshman year and may not be back until right before the 2022 draft, depending on the date. He's currently projected to be sophomore eligible assuming the draft date remains in mid-July",,4-Year
51,52,,,Justin Crawford,CF,18.5,"6' 3""",175,L,R,Bishop Gorman HS (NV),LSU,40+,High,"Crawford has among the most extreme variance among players in this class. He played much less than his peers during the summer showcase circuit season and showed a couple of swing changes throughout the 2021 calendar year, making it harder to get a real grip on his skills. Crawford's combination of speed, rotational explosiveness, overall athleticism, and physical projection make him extremely exciting, but there's some hit tool risk here due to lever length and a less-complete on-paper track record than the more participatory prepsters",,High School
52,53,,,Jalin Flores,SS,18.9,"6' 3""",180,R,R,Brandeis HS (TX),Texas,40+,High,"Flores presents an atypical amalgam of traits for a traditionally-projectable shortstop, but the end sum is a well-rounded player likely to play good defense at one of the most important positions on the field. Flores is a pretty stiff athlete (especially in the lower half) and isn't especially twitchy, but he still finds acrobatic ways to make defensive plays that few of his classmates can make, often contorting his body and showing off his arm strength to do so, akin to Nick Ahmed. At the plate, Flores shows a balance of contact and power, covering most of the zone and hitting for doubles power right now despite fringe-looking bat speed. He has some frame-based power projection, but Flores' entire game would probably benefit most from a more flexible lower half, which might help his swing be more explosive and athletic. He also tends to chase fastballs above the zone. While flawed, Flores still has a carrying tool (shortstop defense) and general offensive competency (average feel to hit for his age, 45 raw power) that give him a floor of sorts, while some projectable characteristics (mostly his frame) that give him some upside, too",,High School
53,54,,,Jared Jones,C,18.9,"6' 4""",230,R,R,Walton HS (GA),LSU,40+,High,"Jones is in the Sam Huff mold, possessing elite power projection but just a 30-grade bat, which might be enough to profile if he can stay behind the plate",,High School
54,56,,,Hunter Barco,SP,21.6,"6' 4""",220,L,L,Florida,,40,Med,"Barco is a low-slot lefty with advanced command and several underlying pitch traits that give clubs hope of more upside, even though he looks like a lower-variance backend starter prospect on the surface. Barco's arm slot creates a flat approach angle, but he's not really inclined to climb the ladder and pitch at the top of the zone right now. His slider lacks nasty, biting movement, but Barco's arm slot makes it tough on lefty hitters, and his command of it gives it back-foot utility against righties. As a high schooler, his ultra-low spin splitter seemed like the more promising pitch, but his feel for it has regressed. He enters the 2022 spring as a high-probability 40 FV prospect who some scouts think belongs in the 40+ tier because of pitching approach changes Barco can make in pro ball",,4-Year
55,57,,,Drew Thorpe,SP,20.8,"6' 4""",205,R,R,Cal Poly,,40,Med,"Thorpe doesn't have huge velocity but both of his secondary pitches are good and he fills the strike zone. His age and frame indicate that his velocity might spike, but his fastball's tailing action already gives it grounder-inducing movement to Thorpe's arm side. He's a relatively low-variance starting pitching prospect",,4-Year
56,58,,,Jordan Sprinkle,2B,21.3,"5' 11""",180,R,R,UC Santa Barbara,,40,Low,"Though not especially toolsy, Sprinkle is a viewed as a viable defensive shortstop (there are some arm strength questions, though) with a strong statistical track record on offense thanks to his feel to hit. A team who buys that he can stick at short will likely take inside the first 60 picks or so",,4-Year
57,59,,,Jett Williams,SS,18.7,"5' 8""",178,R,R,Rockwall-Heath HS (TX),Mississippi State,40,Med,"Williams is a plus athlete and a 70 runner, a short-levered gap-to-gap hitter. He's capable at all three up-the-middle positions. His power ceiling is limited by his frame, but his speed is exceptional enough to have utility. A likely utility type, there's a shot for Williams' hit tool to drive an everyday profile",,High School
58,60,,,Jackson Ferris,SIRP,18.5,"6' 4""",190,L,L,IMG Academy (FL),Ole Miss,40,High,"Ferris' combination of velocity (up to 96), fastball carry, breaking ball snap, and frame give him tremendous upside. His feel for location is so raw that we have relief projection here, though sometimes guys with lanky frames like this gain control of their bodies later",,High School
59,61,,,Cooper Hjerpe,SP,21.3,"6' 3""",200,L,L,Oregon State,,40,Med,"Even though he only sits 88-92, Hjerpe’s fastball is his best pitch because of its tough-to-hit angle. Hjerpe’s delivery is more akin to a low-slot reliever than a traditional starter, and his fastball has a shallow vertical approach angle as well as an odd lateral one, which college hitters have had a tough time dealing with. His slider and changeup are both average and flash above, aided by Hjerpe’s funky slot and his ability to locate. He works the slider east and west, while his changeup is almost always in the bottom of the zone or below. At the very least Hjerpe looks capable of handling a multi-inning relief role in the big leagues, a la some of the funky lefties the Rays have deployed in that role",,4-Year
60,62,,,Reggie Crawford,SIRP,21.6,"6' 4""",235,L,L,UConn,,40,High,"Crawford was throwing super hard (regularly up to 99) during the 2021 summer, and his fastball has incredible tailing action. His three-quarters arm slot limits its utility somewhat, and Crawford does not finish his slider with any sort of consistency. Of his approximately 50 swinging strikes on film, all but two were fastballs. He blew out and had Tommy John in the fall, and is likely to miss all of the pre-draft 2022 spring. He's a one-pitch relief prospect, though it's one hell of a pitch",,4-Year
61,63,,,Jake Madden,SIRP,20.5,"6' 4""",175,R,R,Northwest Florida State,South Carolina,40,High,"Madden has the most electrifying arm strength among junior college prospects in this draft, sitting 93-95 mph and touching 97 early in the calendar year, while also flashing a plus changeup. He presents a rare combination of arm strength, athleticism, and body projection for a junior college pitcher. This is the second Pennsylvania high school pitcher to head to NW Florida and become a famous draft prospect, after Beck Way (now with the Yankees) did it a few years ago. His slider quality and command create a lot of relief risk here, but Madden has lots of terrific components for pro dev to work with and it's too early to give up hope on him starting down the line",,2-Year
62,64,,,Brock Jones,RF,21.3,"6' 0""",203,L,L,Stanford,,40,High,"Jones has a beautiful-bodied, power bat with stiffness and swing-and-miss red flags despite a big statistical season",,4-Year
63,65,,,AJ Shepard,C,18.7,"5' 11""",205,R,R,Patriot HS (VA),Indiana,40,High,"Shepard's short levers enable him to wait an extra beat before unloading on mistakes, and his strength gives him power on contact even though his swing is mechanically conservative. He's a workable receiver, but definitely a bat-first catching prospect with a well-rounded hit/power combo",,High School
64,66,,,Andrew Dutkanych,SP,18.9,"6' 1""",205,R,R,Brebeuf Jesuit Prep (IN),Vanderbilt,40,High,"Dutkanych sits about 94 and works it at the top of the strike zone, and has a plus-flashing slider in the upper-80s with two plane bite. His changeup has shape that mimics his fastball but it hasn't missed any bats during FanGraphs' looks. With solid present stuff but not a ton of physical projection, Dutkanych fits in the $1 million prep arm tier",,High School
65,67,,,Gabriel Hughes,MIRP,20.9,"6' 5""",230,R,R,Gonzaga,,40,Med,"Hughes has a big, prototypical starter's frame and came out of the gate throwing real heat in 2021, sitting 93-95 early in his outings and holding there until the sixth inning, when he fell off into the low-90s. He also has a really hard, upper-80s slider that will touch 90 or 91 on occasion. It's short a lot of the time, and velocity dependent, but some of the longer ones are plus. He'll also flash an average, mid-80s changeup. His maxed frame and fringe command put him on the starter/reliever projection line entering his draft year",,4-Year
66,68,,arrow_downward,Victor Mederos,SP,21.1,"6' 3""",220,R,R,Oklahoma State,,40,High,"Mederos had a lot of profile as a high schooler because he had big stuff, but a violent delivery and poor command plagued him. At the start of his freshman year he had slimmed and toned his delivery down, and he has kept trending that way. Still a bit wild, Mederos' strike-throwing has improved to the point where he belongs among the other 2022 college starters near the top of the class because nobody has three pitches as good as his, but he's yet to have sustained on-field success",,4-Year
67,69,,arrow_downward,Jared McKenzie,CF,21.2,"6' 0""",185,L,L,Baylor,,40,Med,McKenzie has above-average feel for contact and is a solid bet to stay in center field. A lack of impact power makes his likely outcome more in the good fourth outfielder range,,4-Year
68,HS-P-1,,,Javier Santos,SP,19.1,"6' 0""",180,R,R,Georgia Premier Academy,Northwest Florida St,35+,High,The hard-throwing Santos lacks typical prep physical projection but his combination of velocity and breaking ball quality still put him on the radar in the top three rounds. Size and delivery create relief risk here,,4-Year
69,HS-H-1,,,Austin Charles,SP/3B,18.7,"6' 5""",210,R,R,Stockdale HS (CA),UC Santa Barbara,35+,High,"There are two Austin Charles in the 2022 draft: one is a switch-pitcher from Arizona and the other is this Austin Charles, a gargantuan two-way 3B/RHP with some of the most exciting physical projection in the draft's high school class. He experienced a little velo uptick to start the season and is now sitting in the low-90s while touching 94-95 mph. He had to cut mechanical corners in order to swing hard during showcase looks but Charles was still growing into his body, which offers a ton of room for strength and power. He's a very interesting developmental prospect",,High School
70,COL-P-1,,,Jacob Misiorowski,SP,20.3,"6' 7""",185,R,R,Crowder College,LSU,40,High,"The loose and lanky Misiorowski was up to 95 mph and sitting 91-93 early in 2022 while Midwest JUCOs were still dealing with cold conditions. He was peaking in the 94-97 range during the fall of 2021 and could go in the top two rounds if he returns there. He gets way down the mound and creates tough angle on his fastball at the top of the zone even though he delivers from a lower slot, and there are the makings of an effective in-zone two-seam/slider pairing as well. Originally committed to Oklahoma State while in high school, he's now headed to LSU if he doesn't sign",,2-Year
71,COL-P-2,,,Nick Dean,SP,21.5,"6' 3""",180,R,R,Maryland,,40,Med,"Dean fills the zone, he has a plus changeup, and his breaking ball command enables his benders to play. He doesn't throw all that hard but is wispy and somewhat projectable, looking like a backend starter prospect with a chance for more if he can develop more velocity in pro ball",,4-Year
72,COL-P-3,,,Ben Joyce,SIRP,21.8,"6' 5""",225,R,R,Tennessee,,35+,High,"Joyce has become a Twitter darling by frequently getting into the triple-digits with a fastball that has touched an eye-popping 103 mph, but after missing the 2021 season due to Tommy John surgery, and with just three innings in the books so far this year, scouts are still very much in the to-be-determined phase of figuring out where to line him up on draft boards. While we haven't seen this kind of velocity since early-career Aroldis Chapman, teams are still trying to figure out what else Joyce can do, and on that front, the jury is still out. So far, he’s been hovering around 90% fastball usage while generally finding the zone with the pitch; maybe we'd all lean that heavily on our heater if we could throw it as hard as Joyce does. Still, while his low-to-mid-80s slider flashes solid sweeping action, of the four he had thrown on the season entering Sunday’s game, none were in the zone, and to be honest, they weren't particularly close. Even at 100-plus mph, you can't live on fastballs alone, and many will be watching Joyce for the remainder of the spring in an attempt to figure out exactly what the entire package looks like",,4-Year
73,COL-P-4,,,JP Massey,SP,22.3,"6' 5""",210,R,R,Minnesota,,35+,High,"If the 2021 draft were 40 rounds then the lanky, 6-foot-5 Massey would likely have been picked when he was first eligible. Now a redshirt junior in his fourth year at Minnesota, Massey has had a little three-tick velo spike to start the year and thus far has been sitting 91-93 and reaching back for as much as 96, after he averaged 89 last year during a brief, inconsistent season. Massey’s frame is not mass-y, it’s extremely sinewy and lithe for a college pitching prospect and more velo may yet arrive. He’s throwing strikes at a better rate than ever before during his college career and Massey has pretty good feel for his two-planed curveball. He’s a developmental prospect in some respects, as his changeup is pretty raw and he’s never thrown more than a few dozen innings in a year. There’s a chance he'll tire as the spring wears on but he has mid-90s lightning in that arm right now and the arrow is pointing way up in that regard",,4-Year
74,COL-P-5,,,Brycen Mautz,SP,21.0,"6' 3""",190,L,L,San Diego,,35+,Med,"Mautz’s meal ticket pitch is his plus slider, of which he has surgical glove-side command. It has depth and two-planed break that plays away from lefties and to the back foot of righties, and Mautz has gotten a ton of swings and misses on this slider low-to-mid-80s breaker. He is primary fastball is a low-90s sinker that hitters seem to struggle to pick up out of hand. He fills the zone with this pitch, which has been enough against college lineups but a sinker with 40-grade velo might get hit in pro ball",,4-Year
75,COL-P-6,,,Mack Anglin,SIRP,22.0,"6' 4""",220,R,R,Clemson,,35+,High,"Anglin has one of the best breaking balls in the draft, a two-plane demon with big depth and sweep. It typically ranges anywhere from 83-87 mph, though he seemed to be backing off it and throwing it more softly, with curveball shape, early in 2021. Two well-demarcated breaking balls will likely be a developmental focus for Anglin, who has a chance to have two great ones because his feel for spin is elite. But fastball viability will be a hurdle, even though Anglin throws quite hard. His upright delivery and vertical arm slot create a lot of downhill angle, which mirrors bat paths. He doesn't miss many bats in the strike zone with it, instead relying on hitters to be late on heaters away from them. This is what stands between him and comfortable starter projection, even though Anglin made real strides as a strike-thrower in 2021",,4-Year
76,COL-P-7,,,Josh White,MIRP,21.6,"6' 1""",205,R,R,California,,35+,Med,"White pitched in a myriad of roles as an underclassman, then became Cal's Friday starter in 2022. He sits 92-95 mph, touching 96, with some arm-side run, and makes heavy use of a mid-80s slider with late break, and a 79-81 mph curveball with occasional depth. He has trouble locating any of them consistently and has relief risk, but he may come into yet more arm strength with a move to more consistent relief, where fringe athletes like this tend to fit",,4-Year
77,COL-P-8,,,Cade Halemanu,SIRP,21.9,"6' 4""",215,R,R,Hawaii,,35+,High,"A velo spike has made the hulking Halemanu into an interesting late-bloomer prospect. He sits 93-95 mph and has a plus changeup, but struggles to repeat his release",,4-Year
78,COL-P-9,,,Jaxon Jordan,SP,19.2,"6' 5""",190,R,R,Moorpark College,,35,High,"Jordan is an athletic, huge-framed junior college pitcher with below-average velocity right now. He's likely to grow into more as his frame fills out and his breaking ball, which needs more power, has good natural shape and depth",,2-Year
79,COL-P-10,,,Jaycob Deese,SIRP,22.1,"6' 1""",190,R,R,Houston,,35,Med,"Deese spent two years at Galveston College before heading to Houston in 2021, where he has done a mix of starting and relieving. To start 2022, he worked in a high-leverage, multi-inning relief role, going four or five innings in close games. He has a plus slider, sits about 90-92 mph, and could stand to lean into his fastball's angle more often and work at the letters rather than with a sinker at the knees. He's a candidate to move into a better FV tier if he shifts to a single-inning role and has a velo spike there, while also changing the style of his fastball attack",,4-Year
80,COL-P-11,,,Kenya Huggins,SP,19.6,"6' 3""",215,R,R,Chipola JC,,35,High,"Huggins came out of the gate hot, sitting in the mid-90s during his first start of 2022. His velo was more in the low-90s in his next outing, and where that velocity settles as the spring rolls along will be very important to where Huggins fits on the draft board. He does have a plus mid-80s slider headlining a reliever-y profile",,2-Year
81,COL-P-12,,,Kyle Ayers,SP,19.4,"6' 1""",190,R,R,Los Angeles Valley College,,35,Med,"Ayers has gotten stronger and added velocity since high school, sitting 92-95 mph in his first 2022 outing after he was more 90-91 as a senior at Sherman Oaks. He's a pretty good on-mound athlete with some changeup and breaking ball feel, living in this FV area while we wait and see if he can hold that velo all spring",,2-Year
82,COL-P-13,,,Alex Williams,SP,22.7,"6' 3""",210,R,L,Stanford,,35,High,"Williams effectively locates his fastball, slider, and changeup, demonstrating a feel for strike-throwing, and maintaining consistent arm speed and release point with all three offerings, using a low-effort, repeatable delivery. He doesn’t throw his four-seamer all that hard (low nineties), but his over-the-top slot gives it some life up in the zone, and his ability to locate it well to all quadrants allows it to play up even further. He messes with hitters’ timing by creating significant velocity separation between the heater and his changeup, which has movement to his arm side. He missed bats and induced weak contact on his slider, though its shape wasn’t consistent. He's a solid senior sign pitching prospect",,4-Year
83,COL-H-1,,,Andrew Pintar,2B,21.3,"6' 2""",190,R,R,BYU,,40,High,"Pintar has a rare power/speed combination for an up-the-middle college player and crushed several piped, mediocre ASU pitchers’ fastballs during the Cougars’ trip to Phoenix a couple weekends ago. He ran very well, posting several home-to-first times in the 4.1-4.2 range during my looks, which are comfortably plus, approaching plus-plus run times. Pintar’s swing is grooved through the middle of the zone, and a shoulder injury might be contributing to issues with his arm strength, but even projecting a 40 hit tool here makes Pintar an strong early day-two prospect because the showcase tools (power and speed) are so big. He’s been added to The Board",,4-Year
84,COL-H-2,,,Dylan Beavers,OF,20.9,"6' 4""",206,L,R,California,,35+,High,"Beavers is a physical corner outfield prospect with water-carrying raw power. His stance is similar to Christian Yelich and the college version of Hunter Bishop, but Beavers struggles to keep his long levers on time and he tends to inside-out pitches he should pull. He's high-variance power-hitting prospect",,4-Year
85,COL-H-3,,,Kordell Brown,SS,21.3,"5' 9""",163,S,R,San Joaquin Delta College,,35+,High,"A twitchy, compact, switch-hitting middle infield prospect, Brown has sneaky pop for his size but is older than the usual junior college prospect",,2-Year
86,COL-H-4,,,Anthony Hall,RF,21.4,"6' 2""",200,L,L,Oregon,,35+,Med,"An improvement in plate discipline has buoyed an otherwise well-rounded skillset, and gives Hall a shot to be a platoon outfielder",,4-Year
87,COL-H-5,,,Colby Backus,LF,20.5,"6' 5""",220,R,R,Walters State CC,,35+,High,Backus has thunderous raw power and generates it with a relatively short swing. He's a corner outfield power sleeper from a Tennessee junior college,,4-Year
88,COL-H-6,,,Elijah Pelayo,SS,19.5,"5' 11""",160,R,R,Mt. San Antonio College,,35,Med,"Pelayo needs to get stronger to make any kind of offensive impact, but he is a terrific defensive shortstop with a frame that suggests he might eventually have viable strength",,2-Year
89,COL-H-7,,,Chase Valentine,SS,20.2,"5' 11""",160,R,R,Central Arizona,Tennessee,35,Med,Valentine is a very good defensive shortstop with a plus arm and below-average bat speed. He is athletic enough that some scouts want to see him on the mound,,2-Year
90,COL-H-8,,,Jerry Huntzinger*,C/SIRP,23.4,"6' 2""",180,R,R,Xavier,,35,High,"A grad transfer from Seton Hall, the 23-year-old Huntzinger is coming off a senior season in which he lead the Big East in steals as a catcher. He has experience catching and in the outfield, and now that he's transferred to Xavier, he's also pitching. Huntzinger threw his first collegiate inning during a mid-week tilt at Louisville and only sat 88-90 mph, but he has a lithe, athletic frame, a good arm action, and he had literally just taken off his gear and walked to the mound. He's very interesting senior sign",,4-Year
91,COL-H-9,,,Maurice Hampton,CF,20.9,"6' 1""",217,R,R,Samford,,35,High,"Hampton was a famous high school prospect who turned down seven-figure offers to go to LSU, where he played football (and helped win a national title as a DB reserve in 2019) and baseball, but neither very much before transferring to Samford after a couple of years. He is very physical and fast, but has very little feel to hit and raw routes in center field. Hampton has barely had any baseball reps and only just began focusing on it. He's an interesting dev project but teams don't exactly have the minor league roster spots for a player like this anymore",,4-Year
92,COL-H-10,,,Brooks Baldwin*,2B,21.5,"6' 2""",175,S,R,UNC-Wilmington,,35,Med,"Redshirt junior Baldwin was drafted in 2021 by the Giants (15th round) but didn't sign. He's a plus-running switch-hitter with a slash-and-dash approach, but more raw juice in the tank than he hits for in games. He can make basic plays at second but really struggles with arm accuracy when he's working around the bag, so he might fit better in center field",,4-Year
93,COL-H-11,,,Caden Smith,1B,21.8,"6' 4""",215,L,R,Georgia Highlands,,35,High,"A kickback prospect from Mercer, Smith is a former catcher with huge all-fields power he accesses in the bottom of the strike zone. His size likely limits him to 1B/DH",,2-Year
94,COL-H-12,,,Kiko Romero,C,21.8,"6' 0""",185,L,R,Central Arizona,Arizona,35,Med,"The high school catcher and middle infielder has become more of a bat-first prospect at Central, though Romero indeed has a pro body and bat speed, and a great-looking swing. He'd likely need to return to some combination of catching/the infield in pro ball to be a prospect",,2-Year
